Label,Protocol Type,Rate,Tot size,IAT,size_kb,rate_mbps,coef_variacion,total_flags,protocolo_principal,rango_iat
Mirai-greip_flood,47,12510.9739,572.8,0.00008,0.559375,0.012511,0.090782,0.01,TCP,medio
Mirai-greip_flood,47,5322.85591,572.82,0.000188,0.559395,0.005323,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,7610.923806,578.0,0.000132,0.564453,0.007611,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2245.573158,562.32,0.000446,0.549141,0.002246,0.138946,0.03,HTTPS,medio
Mirai-greip_flood,47,4371.388967,573.08,0.000229,0.559648,0.004371,0.087992,0.02,HTTP,medio
Mirai-greip_flood,47,5758.717083,573.45,0.000174,0.56001,0.005759,0.079344,0.02,TCP,medio
Mirai-greip_flood,47,5546.62717,578.0,0.000181,0.564453,0.005547,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6129.335087,573.45,0.000163,0.56001,0.006129,0.079344,0.02,TCP,medio
Mirai-greip_flood,47,2798.534779,567.62,0.000358,0.554316,0.002799,0.128653,0.02,TCP,medio
Mirai-greip_flood,47,5284.295667,572.8,0.000189,0.559375,0.005284,0.090782,0.02,TCP,medio
Mirai-greip_flood,47,5418.577371,578.0,0.000186,0.564453,0.005419,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5171.449356,574.52,0.000195,0.561055,0.005171,0.060572,0.0,UDP,medio
Mirai-greip_flood,47,13757.229074,578.0,0.000073,0.564453,0.013757,0.0,0.0,IPv,medio
Mirai-greip_flood,47,13693.00382,578.0,0.000075,0.564453,0.013693,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7995.546914,578.0,0.000125,0.564453,0.007996,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3526.106768,578.0,0.000286,0.564453,0.003526,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2504.944428,568.02,0.0004,0.554707,0.002505,0.1237,0.0,ARP,medio
Mirai-greip_flood,47,2273.754513,562.46,0.000443,0.549277,0.002274,0.157895,0.0,ARP,medio
Mirai-greip_flood,47,6259.781506,572.82,0.00016,0.559395,0.00626,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1346.840581,572.76,0.000742,0.559336,0.001347,0.091487,0.01,TCP,medio
Mirai-greip_flood,47,2384.238111,573.44,0.000421,0.56,0.002384,0.088072,0.02,HTTPS,medio
Mirai-greip_flood,47,4386.934284,578.0,0.00023,0.564453,0.004387,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2350.079283,568.75,0.000426,0.55542,0.00235,0.121707,0.0,ARP,medio
Mirai-greip_flood,47,6700.166134,578.0,0.000151,0.564453,0.0067,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8786.458857,578.0,0.000114,0.564453,0.008786,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2395.499483,578.0,0.000418,0.564453,0.002395,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6011.787639,578.0,0.000167,0.564453,0.006012,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5780.30374,578.0,0.000173,0.564453,0.00578,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5979.732543,578.0,0.000167,0.564453,0.00598,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5656.741338,572.82,0.000177,0.559395,0.005657,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,2524.225756,578.0,0.000398,0.564453,0.002524,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1262.355986,568.64,0.000794,0.555312,0.001262,0.115848,0.04,HTTPS,medio
Mirai-greip_flood,47,3055.113338,553.91,0.000329,0.540928,0.003055,0.19071,0.0,DNS,medio
Mirai-greip_flood,47,1095.613423,538.77,0.000914,0.526143,0.001096,0.249479,0.03,HTTPS,medio
Mirai-greip_flood,47,4609.378537,568.22,0.000218,0.554902,0.004609,0.121225,0.03,HTTPS,medio
Mirai-greip_flood,47,9595.095281,578.0,0.000105,0.564453,0.009595,0.0,0.0,IPv,medio
Mirai-greip_flood,47,12711.552916,578.0,0.00008,0.564453,0.012712,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3437.503278,578.0,0.000296,0.564453,0.003438,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2939.101796,572.96,0.000344,0.559531,0.002939,0.216646,0.01,HTTPS,medio
Mirai-greip_flood,47,5214.072251,578.0,0.000193,0.564453,0.005214,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6741.30316,572.8,0.00015,0.559375,0.006741,0.090782,0.02,TCP,medio
Mirai-greip_flood,47,7823.588443,578.0,0.000128,0.564453,0.007824,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7789.44397,568.33,0.00013,0.55501,0.007789,0.119915,0.03,HTTPS,medio
Mirai-greip_flood,47,7572.859567,578.0,0.000133,0.564453,0.007573,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2170.470493,563.06,0.000462,0.549863,0.00217,0.156731,0.03,HTTP,medio
Mirai-greip_flood,47,3789.440208,567.62,0.000268,0.554316,0.003789,0.128653,0.02,TCP,medio
Mirai-greip_flood,47,8552.124623,578.0,0.000117,0.564453,0.008552,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1684.40532,562.83,0.000596,0.549639,0.001684,0.154062,0.01,HTTPS,medio
Mirai-greip_flood,47,638.362598,537.19,0.001567,0.5246,0.000638,0.259109,0.03,HTTPS,alto
Mirai-greip_flood,47,3872.964163,572.82,0.00026,0.559395,0.003873,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,6845.049368,563.36,0.000147,0.550156,0.006845,0.149129,0.02,DNS,medio
Mirai-greip_flood,47,5285.694122,569.16,0.000191,0.55582,0.005286,0.110992,0.02,TCP,medio
Mirai-greip_flood,47,702.879014,545.14,0.001425,0.532363,0.000703,0.222408,0.05,HTTPS,alto
Mirai-greip_flood,47,6725.844679,575.26,0.000151,0.561777,0.006726,0.047631,0.0,DNS,medio
Mirai-greip_flood,47,3370.516148,578.0,0.000297,0.564453,0.003371,0.0,0.0,IPv,medio
Mirai-greip_flood,47,688.562709,551.72,0.001454,0.538789,0.000689,0.177946,0.01,TCP,alto
Mirai-greip_flood,47,597.460478,544.98,0.001674,0.532207,0.000597,0.373255,0.14,HTTPS,alto
Mirai-greip_flood,47,1175.599529,526.7,0.000858,0.514355,0.001176,0.279725,0.03,HTTPS,medio
Mirai-greip_flood,47,6884.598592,572.8,0.000146,0.559375,0.006885,0.090782,0.02,TCP,medio
Mirai-greip_flood,47,5846.942218,578.0,0.000171,0.564453,0.005847,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11304.487508,567.62,0.000089,0.554316,0.011304,0.128653,0.02,TCP,medio
Mirai-greip_flood,47,5775.289501,572.96,0.000173,0.559531,0.005775,0.087964,0.02,HTTPS,medio
Mirai-greip_flood,47,5819.037445,574.52,0.000173,0.561055,0.005819,0.060572,0.0,UDP,medio
Mirai-greip_flood,47,1670.897654,572.8,0.000599,0.559375,0.001671,0.090782,0.02,TCP,medio
Mirai-greip_flood,47,5165.844346,578.0,0.000194,0.564453,0.005166,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3450.171098,578.0,0.00029,0.564453,0.00345,0.0,0.0,IPv,medio
Mirai-greip_flood,47,728.242258,554.54,0.001375,0.541543,0.000728,0.187793,0.0,DNS,alto
Mirai-greip_flood,47,2789.934614,578.0,0.00036,0.564453,0.00279,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2753.306157,578.0,0.000364,0.564453,0.002753,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6665.348737,568.17,0.000151,0.554854,0.006665,0.121927,0.01,DNS,medio
Mirai-greip_flood,47,3244.105499,572.82,0.000308,0.559395,0.003244,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,5727.732561,578.0,0.000175,0.564453,0.005728,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3724.000036,572.82,0.00027,0.559395,0.003724,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,12277.329274,578.0,0.000084,0.564453,0.012277,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7792.917394,578.0,0.00013,0.564453,0.007793,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3595.569729,572.82,0.000279,0.559395,0.003596,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,9755.1028,572.82,0.000103,0.559395,0.009755,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,11285.325297,578.0,0.000089,0.564453,0.011285,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8737.587234,578.0,0.000114,0.564453,0.008738,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8211.566624,578.0,0.000122,0.564453,0.008212,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4385.191381,568.35,0.000228,0.555029,0.004385,0.119781,0.03,HTTPS,medio
Mirai-greip_flood,47,5591.585234,568.02,0.000179,0.554707,0.005592,0.1237,0.0,ARP,medio
Mirai-greip_flood,47,9793.368824,573.2,0.000103,0.559766,0.009793,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,6383.6357,578.0,0.000157,0.564453,0.006384,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11611.815841,578.0,0.000087,0.564453,0.011612,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4979.348007,575.67,0.000201,0.562178,0.004979,0.040475,0.0,DNS,medio
Mirai-greip_flood,47,2705.636011,569.12,0.00037,0.555781,0.002706,0.111575,0.02,TCP,medio
Mirai-greip_flood,47,9805.732454,573.2,0.000104,0.559766,0.009806,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,4483.92042,573.2,0.000223,0.559766,0.004484,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,1405.046949,567.78,0.000712,0.554473,0.001405,0.126646,0.0,DNS,medio
Mirai-greip_flood,47,454.574461,549.66,0.002306,0.536777,0.000455,0.207448,0.06,TCP,alto
Mirai-greip_flood,47,407.386823,549.89,0.002463,0.537002,0.000407,0.206084,0.04,HTTPS,alto
Mirai-greip_flood,47,12083.1528,578.0,0.000083,0.564453,0.012083,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4717.418542,573.2,0.000212,0.559766,0.004717,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,5409.841225,569.04,0.000186,0.555703,0.00541,0.112391,0.03,TCP,medio
Mirai-greip_flood,47,6933.306885,578.0,0.000145,0.564453,0.006933,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1891.149126,562.44,0.000529,0.549258,0.001891,0.158104,0.01,TCP,medio
Mirai-greip_flood,47,5224.39869,567.64,0.000193,0.554336,0.005224,0.128401,0.0,ARP,medio
Mirai-greip_flood,47,8764.976073,578.0,0.000115,0.564453,0.008765,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4889.491968,578.0,0.000205,0.564453,0.004889,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3365.97196,578.0,0.000299,0.564453,0.003366,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4117.957076,578.0,0.000287,0.564453,0.004118,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6844.602556,578.0,0.000147,0.564453,0.006845,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5293.231868,578.0,0.00019,0.564453,0.005293,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6911.371463,562.82,0.000145,0.549629,0.006911,0.154227,0.0,DNS,medio
Mirai-greip_flood,47,2876.120467,578.0,0.000348,0.564453,0.002876,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2293.586189,558.42,0.000437,0.545332,0.002294,0.172741,0.0,ARP,medio
Mirai-greip_flood,47,4042.390948,573.45,0.00025,0.56001,0.004042,0.079344,0.02,TCP,medio
Mirai-greip_flood,47,4802.161618,573.08,0.000234,0.559648,0.004802,0.085852,0.0,DNS,medio
Mirai-greip_flood,47,4109.645307,578.0,0.000244,0.564453,0.00411,0.0,0.0,IPv,medio
Mirai-greip_flood,47,12548.77932,574.52,0.000081,0.561055,0.012549,0.060572,0.0,UDP,medio
Mirai-greip_flood,47,4375.036769,578.0,0.00023,0.564453,0.004375,0.0,0.0,IPv,medio
Mirai-greip_flood,47,761.458539,547.44,0.001313,0.534609,0.000761,0.22224,0.02,HTTPS,alto
Mirai-greip_flood,47,3660.046947,578.0,0.000274,0.564453,0.00366,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4467.681426,562.98,0.000224,0.549785,0.004468,0.152547,0.02,HTTPS,medio
Mirai-greip_flood,47,4408.004036,572.96,0.000228,0.559531,0.004408,0.087964,0.0,DNS,medio
Mirai-greip_flood,47,2215.281908,567.64,0.000453,0.554336,0.002215,0.128401,0.0,ARP,medio
Mirai-greip_flood,47,2772.855226,572.82,0.000362,0.559395,0.002773,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,6104.623983,578.0,0.000164,0.564453,0.006105,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4603.863716,572.82,0.000217,0.559395,0.004604,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1822.22396,557.28,0.00055,0.544219,0.001822,0.183065,0.0,ARP,medio
Mirai-greip_flood,47,2560.95348,562.46,0.000392,0.549277,0.002561,0.157895,0.0,ARP,medio
Mirai-greip_flood,47,2038.77177,567.64,0.000495,0.554336,0.002039,0.128401,0.0,ARP,medio
Mirai-greip_flood,47,3728.701094,578.0,0.00027,0.564453,0.003729,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6231.323726,572.8,0.000162,0.559375,0.006231,0.090782,0.01,TCP,medio
Mirai-greip_flood,47,3721.885122,557.26,0.00027,0.544199,0.003722,0.183248,0.02,TCP,medio
Mirai-greip_flood,47,1567.940666,564.65,0.000639,0.551416,0.001568,0.138815,0.0,ARP,medio
Mirai-greip_flood,47,3527.589571,578.0,0.000283,0.564453,0.003528,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1308.867135,562.42,0.000764,0.549238,0.001309,0.158312,0.03,TCP,medio
Mirai-greip_flood,47,1683.364237,572.82,0.000597,0.559395,0.001683,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1045.663826,578.0,0.000956,0.564453,0.001046,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3108.089042,573.2,0.000322,0.559766,0.003108,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,6870.9521,573.35,0.000148,0.559912,0.006871,0.081102,0.02,HTTPS,medio
Mirai-greip_flood,47,1495.508807,578.0,0.00067,0.564453,0.001496,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2772.763572,566.9,0.000361,0.553613,0.002773,0.127254,0.05,HTTPS,medio
Mirai-greip_flood,47,4062.201216,563.28,0.000248,0.550078,0.004062,0.14962,0.04,HTTPS,medio
Mirai-greip_flood,47,4655.527066,574.81,0.000215,0.561338,0.004656,0.055497,0.0,DNS,medio
Mirai-greip_flood,47,2725.538538,578.0,0.000368,0.564453,0.002726,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11838.28394,572.82,0.000085,0.559395,0.011838,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,4012.536114,572.82,0.000251,0.559395,0.004013,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,10402.797688,578.0,0.000177,0.564453,0.010403,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3616.527557,572.82,0.000277,0.559395,0.003617,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,10154.470403,578.0,0.000098,0.564453,0.010154,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7234.926604,573.57,0.000138,0.560127,0.007235,0.079376,0.02,TCP,medio
Mirai-greip_flood,47,4873.301033,572.82,0.000205,0.559395,0.004873,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,6719.487344,578.0,0.000149,0.564453,0.006719,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2616.077042,572.82,0.000384,0.559395,0.002616,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1151.142826,569.64,0.000872,0.556289,0.001151,0.104716,0.0,UDP,medio
Mirai-greip_flood,47,2167.69979,578.12,0.000462,0.56457,0.002168,0.002076,0.0,ICMP,medio
Mirai-greip_flood,47,1669.255138,557.37,0.00061,0.544307,0.001669,0.168933,0.0,DNS,medio
Mirai-greip_flood,47,1073.513724,567.94,0.000933,0.554629,0.001074,0.124673,0.0,DNS,medio
Mirai-greip_flood,47,1147.935563,559.26,0.000872,0.546152,0.001148,0.166447,0.01,TCP,medio
Mirai-greip_flood,47,12217.249716,578.0,0.000084,0.564453,0.012217,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3595.169074,572.82,0.00028,0.559395,0.003595,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,477.281174,507.75,0.002099,0.49585,0.000477,0.500607,0.13,HTTPS,alto
Mirai-greip_flood,47,2620.342731,558.94,0.000383,0.54584,0.00262,0.168642,0.01,DNS,medio
Mirai-greip_flood,47,2886.075044,554.66,0.00035,0.54166,0.002886,0.188054,0.03,HTTPS,medio
Mirai-greip_flood,47,1618.597472,570.52,0.000618,0.557148,0.001619,0.098969,0.0,UDP,medio
Mirai-greip_flood,47,4029.149175,578.0,0.000248,0.564453,0.004029,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4965.730184,578.0,0.000201,0.564453,0.004966,0.0,0.0,IPv,medio
Mirai-greip_flood,47,10242.750739,578.0,0.000099,0.564453,0.010243,0.0,0.0,IPv,medio
Mirai-greip_flood,47,13615.107324,578.0,0.000074,0.564453,0.013615,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3816.230085,578.0,0.000262,0.564453,0.003816,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3832.759771,567.94,0.000262,0.554629,0.003833,0.124673,0.0,UDP,medio
Mirai-greip_flood,47,6036.793851,573.77,0.000167,0.560322,0.006037,0.277756,0.08,HTTPS,medio
Mirai-greip_flood,47,2157.36403,552.32,0.000465,0.539375,0.002157,0.203714,0.04,HTTPS,medio
Mirai-greip_flood,47,2429.53695,558.03,0.000412,0.544951,0.00243,0.176745,0.03,HTTPS,medio
Mirai-greip_flood,47,5958.410637,578.0,0.000169,0.564453,0.005958,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8527.954781,578.0,0.000118,0.564453,0.008528,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8210.762876,578.0,0.000123,0.564453,0.008211,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7106.821648,578.0,0.000141,0.564453,0.007107,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6076.059684,572.82,0.000166,0.559395,0.006076,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,4664.172764,578.0,0.000214,0.564453,0.004664,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11173.190548,574.87,0.000089,0.561396,0.011173,0.054447,0.0,UDP,medio
Mirai-greip_flood,47,6592.433554,578.12,0.000153,0.56457,0.006592,0.002076,0.0,ICMP,medio
Mirai-greip_flood,47,4145.060679,578.0,0.000242,0.564453,0.004145,0.0,0.0,IPv,medio
Mirai-greip_flood,47,6397.949876,580.04,0.000158,0.566445,0.006398,0.185568,0.0,UDP,medio
Mirai-greip_flood,47,3418.452109,578.0,0.000332,0.564453,0.003418,0.0,0.0,IPv,medio
Mirai-greip_flood,47,11495.653127,578.0,0.000089,0.564453,0.011496,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1798.432381,578.0,0.00056,0.564453,0.001798,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2053.092632,578.0,0.000488,0.564453,0.002053,0.0,0.0,IPv,medio
Mirai-greip_flood,47,2188.134638,578.0,0.000457,0.564453,0.002188,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1811.465738,561.85,0.000553,0.548682,0.001811,0.146112,0.04,HTTPS,medio
Mirai-greip_flood,47,3564.948068,578.0,0.000409,0.564453,0.003565,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4074.315411,578.0,0.000247,0.564453,0.004074,0.0,0.0,IPv,medio
Mirai-greip_flood,47,784.159408,552.38,0.001275,0.539434,0.000784,0.188356,0.0,DNS,alto
Mirai-greip_flood,47,2139.863679,578.0,0.000469,0.564453,0.00214,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4669.157297,578.0,0.000215,0.564453,0.004669,0.0,0.0,IPv,medio
Mirai-greip_flood,47,17079.175829,578.0,0.000059,0.564453,0.017079,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3764.070717,572.82,0.000266,0.559395,0.003764,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,7027.400519,573.2,0.000144,0.559766,0.007027,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,10794.482191,573.14,0.000093,0.559707,0.010794,0.084796,0.0,DNS,medio
Mirai-greip_flood,47,11756.324803,578.0,0.000086,0.564453,0.011756,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5498.491105,578.0,0.000183,0.564453,0.005498,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3160.169977,578.0,0.000318,0.564453,0.00316,0.0,0.0,IPv,medio
Mirai-greip_flood,47,4855.080449,578.0,0.000207,0.564453,0.004855,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7331.930217,575.24,0.000136,0.561758,0.007332,0.04798,0.0,UDP,medio
Mirai-greip_flood,47,8359.850116,578.0,0.00012,0.564453,0.00836,0.0,0.0,IPv,medio
Mirai-greip_flood,47,1424.661778,573.2,0.000702,0.559766,0.001425,0.08374,0.0,ICMP,medio
Mirai-greip_flood,47,3773.451009,578.0,0.000265,0.564453,0.003773,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5032.218743,572.82,0.000199,0.559395,0.005032,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,3513.70026,578.0,0.000286,0.564453,0.003514,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5755.003362,578.0,0.000175,0.564453,0.005755,0.0,0.0,IPv,medio
Mirai-greip_flood,47,7101.767694,557.9,0.000151,0.544824,0.007102,0.17739,0.02,HTTPS,medio
Mirai-greip_flood,47,10361.422925,578.0,0.000097,0.564453,0.010361,0.0,0.0,IPv,medio
Mirai-greip_flood,47,3031.486434,572.82,0.000332,0.559395,0.003031,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1621.795601,562.58,0.00062,0.549395,0.001622,0.157913,0.0,ARP,medio
Mirai-greip_flood,47,4471.253438,578.0,0.000224,0.564453,0.004471,0.0,0.0,IPv,medio
Mirai-greip_flood,47,681.919707,552.88,0.001469,0.539922,0.000682,0.199088,0.04,HTTPS,alto
Mirai-greip_flood,47,4807.445614,569.18,0.000211,0.55584,0.004807,0.110701,0.0,UDP,medio
Mirai-greip_flood,47,5047.41871,567.78,0.000199,0.554473,0.005047,0.126646,0.02,HTTPS,medio
Mirai-greip_flood,47,4230.090566,572.82,0.000238,0.559395,0.00423,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,1703.111588,567.92,0.000591,0.554609,0.001703,0.124869,0.04,HTTPS,medio
Mirai-greip_flood,47,8681.1632,578.0,0.000115,0.564453,0.008681,0.0,0.0,IPv,medio
Mirai-greip_flood,47,254.551369,531.28,0.003932,0.518828,0.000255,0.269369,0.01,HTTPS,alto
Mirai-greip_flood,47,1852.918776,578.0,0.00054,0.564453,0.001853,0.0,0.0,IPv,medio
Mirai-greip_flood,47,8016.02324,578.0,0.000126,0.564453,0.008016,0.0,0.0,IPv,medio
Mirai-greip_flood,47,786.906111,512.82,0.001271,0.500801,0.000787,0.332693,0.03,HTTPS,alto
Mirai-greip_flood,47,2003.651598,578.0,0.000501,0.564453,0.002004,0.0,0.0,IPv,medio
Mirai-greip_flood,47,5471.378442,572.82,0.000183,0.559395,0.005471,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,4134.478102,572.82,0.000242,0.559395,0.004134,0.09043,0.0,ARP,medio
Mirai-greip_flood,47,3995.983347,574.37,0.000251,0.560908,0.003996,0.0632,0.0,DNS,medio
Mirai-greip_flood,47,1295.553922,552.04,0.000772,0.539102,0.001296,0.206015,0.02,TCP,medio
Mirai-greip_flood,47,11358.674105,578.0,0.000089,0.564453,0.011359,0.0,0.0,IPv,medio
