Label,Protocol Type,registros,pct_registros,volumen_bytes,media_tot_size,media_rate,media_iat
DDoS-UDP_Flood,1,8,0.001333,537.21,67.15125,10119.624466,0.000497
DDoS-UDP_Flood,6,71,0.011834,24143.53,340.049718,270.015509,0.006862
DDoS-UDP_Flood,17,69339,11.55675,4193883.085967,60.483755,33382.334598,0.000056
DDoS-UDP_Fragmentation,0,2,0.000333,253.99,126.995,70.067828,0.024507
DDoS-UDP_Fragmentation,1,2,0.000333,567.68,283.84,513.969991,0.002059
DDoS-UDP_Fragmentation,6,43,0.007167,23341.39,542.823023,578.316288,0.156897
DDoS-UDP_Fragmentation,17,3634,0.60568,3264811.786191,898.407206,2045.764427,0.001437
DNS_Spoofing,0,27,0.0045,2603.4,96.422222,97.768674,0.028347
DNS_Spoofing,1,1,0.000167,216.7,216.7,68.193301,0.01962
DNS_Spoofing,6,1342,0.223672,657021.5,489.58383,11170.566708,0.009793
DNS_Spoofing,17,926,0.154337,260112.466667,280.898992,27113.997523,0.00805
DictionaryBruteForce,6,143,0.023834,50117.1,350.469231,7203.768169,0.013696
DictionaryBruteForce,17,26,0.004333,3219.7,123.834615,74.408034,0.023389
DoS-HTTP_Flood,6,920,0.153337,442607.62226,481.095242,6834.322802,0.001006
DoS-HTTP_Flood,17,1,0.000167,154.26,154.26,128.771537,0.007775
DoS-SYN_Flood,1,1,0.000167,107.8,107.8,178.800961,0.005593
DoS-SYN_Flood,6,25972,4.32876,1613263.289685,62.115482,22612.482371,0.00011
DoS-SYN_Flood,17,50,0.008334,12063.93,241.2786,207.461338,0.007695
DoS-TCP_Flood,6,34259,5.709957,2159581.634512,63.036914,25450.123766,0.000707
DoS-TCP_Flood,17,6,0.001,2897.06,482.843333,809.540795,0.003058
DoS-UDP_Flood,1,115,0.019167,10873.568387,94.552769,4212.619088,0.000804
DoS-UDP_Flood,6,75,0.0125,36446.437079,485.952494,418.234502,0.004577
DoS-UDP_Flood,17,39224,6.537475,3469515.742184,88.453899,20097.90696,0.060469
MITM-ArpSpoofing,0,21,0.0035,1901.5,90.547619,69.657122,0.028978
MITM-ArpSpoofing,1,4,0.000667,486.3,121.575,92.184058,0.012878
MITM-ArpSpoofing,6,2914,0.485677,2061956.1,707.603329,53112.85514,0.014624
MITM-ArpSpoofing,17,1007,0.167837,504996.4,501.485998,3878.072796,0.006337
Mirai-greeth_flood,0,1,0.000167,143.06,143.06,52.749152,0.018959
Mirai-greeth_flood,1,3,0.0005,709.8,236.6,641.304295,0.00351
Mirai-greeth_flood,6,49,0.008167,28809.59,587.950816,440.794606,0.006496
Mirai-greeth_flood,17,25,0.004167,15748.080488,629.92322,978.286286,0.003411
Mirai-greeth_flood,47,12641,2.106879,7388034.189179,584.450138,5606.615709,0.000459
Mirai-greip_flood,0,2,0.000333,343.05,171.525,261.302805,0.004006
Mirai-greip_flood,1,4,0.000667,885.21,221.3025,188.473725,0.006414
Mirai-greip_flood,6,82,0.013667,46548.081099,567.659526,4420.219251,0.003185
Mirai-greip_flood,17,47,0.007834,8528.66,181.460851,183.801631,0.008939
Mirai-greip_flood,47,9507,1.584534,5395656.854969,567.545688,5088.225219,0.000461
Mirai-udpplain,0,2,0.000333,142.18,71.09,12.612046,0.102123
Mirai-udpplain,1,2,0.000333,348.02,174.01,1053.194799,0.001221
Mirai-udpplain,6,43,0.007167,13906.82,323.414419,197.757847,0.011919
Mirai-udpplain,17,11376,1.896041,6229332.94231,547.585526,6157.287679,0.000335
Recon-HostDiscovery,0,49,0.008167,4497.0,91.77551,11019.744745,0.026187
Recon-HostDiscovery,1,3,0.0005,295.1,98.366667,40.918893,0.033543
Recon-HostDiscovery,6,1472,0.245339,227694.8,154.683967,6518.703025,0.012331
Recon-HostDiscovery,17,201,0.033501,28827.3,143.419403,69.664523,0.032353
Recon-OSScan,0,3,0.0005,360.7,120.233333,125.249445,0.011727
Recon-OSScan,1,1,0.000167,140.6,140.6,161.694391,0.006656
Recon-OSScan,6,1174,0.195671,384052.8,327.131857,32845.42943,0.007878
Recon-OSScan,17,83,0.013834,11363.4,136.908434,2785.413365,0.015168
Recon-PingSweep,0,6,0.001,559.4,93.233333,186.216251,0.00633
Recon-PingSweep,6,20,0.003333,5504.3,275.215,486.999653,0.013697
Recon-PingSweep,17,4,0.000667,731.7,182.925,77.729864,0.017146
Recon-PortScan,0,5,0.000833,418.6,83.72,162.581391,0.013343
Recon-PortScan,6,934,0.15567,204448.3,218.895396,38535.950398,0.02703
Recon-PortScan,17,117,0.0195,15370.4,131.37094,2018.859534,0.017882
SqlInjection,6,55,0.009167,10950.3,199.096364,319.77009,0.011929
SqlInjection,17,13,0.002167,1243.1,95.623077,103.137441,0.019989
Uploading_Attack,6,9,0.0015,1765.1,196.122222,2774.907342,0.026024
Uploading_Attack,17,8,0.001333,1225.3,153.1625,51.673375,0.027757
VulnerabilityScan,0,42,0.007,4382.3,104.340476,89.79599,0.027997
VulnerabilityScan,1,5,0.000833,855.4,171.08,33.942342,0.03986
VulnerabilityScan,6,3733,0.62218,1098678.6,294.315189,4638.220828,0.014713
VulnerabilityScan,17,1010,0.168337,127079.9,125.821683,103.132849,0.019735
XSS,0,1,0.000167,138.2,138.2,28.015592,0.035992
XSS,6,36,0.006,15143.6,420.655556,8548.562482,0.021055
XSS,17,13,0.002167,1711.6,131.661538,34.564628,0.039555
